epoch cg_usage g2_ticks
1789610791 44315922523 39228
1789610792 44316880957 39229
1789610793 44317865097 39231
1789610794 44318411394 39232
1789610795 44318761022 39234
1789610796 44319113255 39235
1789610797 44319505913 39236
1789610798 44320441860 39238
1789610799 44321592405 39239
1789610800 44322197772 39241
1789610801 44322908676 39242
1789610802 44324053456 39243
1789610803 44325629303 39245
1789610804 44327274545 39247
1789610805 44328998981 39248
1789610806 44330428307 39250
1789610807 44331379557 39251
1789610808 44332612794 39253
1789610809 44334190818 39254
1789610810 44335411793 39256
1789610811 44336558411 39257
1789610812 44337806121 39258
1789610813 44339104926 39259
1789610814 44340132051 39261
1789610815 44340972673 39262
1789610816 44341938576 39265
1789610817 44343012875 39266
1789610818 44344185756 39268
1789610819 44345463286 39268
1789610820 44346310396 39270
1789610821 44347511763 39272
1789610822 44349236055 39274
1789610823 44350762984 39275
1789610824 44352669192 39276
1789610825 44354609151 39278
1789610826 44356611379 39279
1789610827 44358513236 39281
1789610828 44360361139 39283
1789610829 44362591211 39284
1789610830 44364546179 39286
1789610831 44366905224 39287
1789610832 44369304783 39290
1789610833 44371646702 39291
1789610834 44374043126 39293
1789610835 44376663603 39294
1789610836 44378630080 39296
1789610837 44380647193 39298
1789610838 44382498676 39300
1789610839 44383998369 39301
1789610840 44385098483 39302
1789610841 44386782345 39304
1789610842 44387854921 39305
1789610843 44388682414 39307
1789610844 44389221248 39309
1789610845 44389576851 39310
1789610846 44389940092 39311
1789610847 44390330283 39312
1789610848 44391288278 39314
1789610849 44392685259 39315
1789610850 44393551371 39317
1789610851 44394067183 39318
1789610852 44395193346 39320
1789610853 44396321568 39321
1789610854 44396931923 39322
1789610855 44397534436 39324
1789610856 44398006531 39325
1789610857 44398444658 39327
1789610858 44399341829 39329
1789610859 44400443235 39330
1789610860 44401154381 39332
1789610861 44402261682 39333
1789610862 44403861530 39335
1789610863 44405618316 39336
1789610864 44407442606 39338
1789610865 44409149598 39340
1789610866 44410367887 39341
1789610867 44411129183 39343
1789610868 44412499598 39344
1789610869 44414243371 39346
1789610870 44415549736 39347
1789610871 44416679299 39349
1789610872 44417677385 39350
1789610873 44418418236 39351
1789610874 44419129039 39353
1789610875 44419804690 39354
1789610876 44420427761 39356
1789610877 44421042912 39358
1789610878 44422090159 39359
1789610879 44423315356 39360
1789610880 44424194167 39362
1789610881 44425602325 39364
1789610882 44427301567 39365
1789610883 44429002285 39367
1789610884 44430964093 39369
1789610885 44433132572 39370
1789610886 44435320074 39372
1789610887 44437285890 39373
1789610888 44439008103 39374
1789610889 44441210105 39376
1789610890 44442768453 39377
1789610891 44444443301 39378
1789610892 44446619790 39381
1789610893 44448767299 39382
1789610894 44450286900 39383
1789610895 44451579149 39385
1789610896 44452499802 39387

=== EXT2 FREEZE-HEAL TIMELINE (2026-09-16 -> 17, sophon local = UTC-3) ===
19:32Z (16:32 local): audio freeze onset, SILENT (no WRN, video alive, producer 26 kept)
16:32-23:00 local: 6h28m frozen, ZERO .102 WRNs in window
23:00:06 local: WRN read tcp -> .102 i/o timeout (first in 6.5h)
23:00:31 local: WRN read tcp -> .102 i/o timeout (second)
23:00:42 local: watchdog.exterior_2 "No frames received" -> Restarting ffmpeg
23:00:42Z+2s: producer 26 -> 6107 (new producer)
02:00:42Z+ (h02 recordings): audio PRESENT (00.00.mp4 = video+audio; 00.42.mp4 video-only partial; 00.47.mp4 video+audio)
h01 segcensus: ext2 225/225 dead (frozen through 01:59Z)
h02 recordings: audio back from 02:00:42Z

=== WRN CADENCE 24h (healer cadence) ===
ext2 (.102): 2    ext1 (.101): 12    int1 (.201): 120    ext5 (.105): 147    ext3 (.103): 282
(ext4 .104 power-dead: ~86k dial-timeout WRNs excluded)

